Order_Date,Region,Category,Sales_Channel,Units_Sold,Unit_Price,Discount_Pct,Customer_Rating,Return_Flag,Revenue,Profit_Margin,Profit
2024-01-01,North,Food & Beverage,Online,21,499.86,0.2,4.5,0,8397.65,0.23,1931.46
2024-01-02,West,Electronics,Online,101,485.53,0.25,4.8,0,36778.9,0.38,13975.98
2024-01-02,North,Electronics,In-Store,113,315.98,0.0,4.1,0,35705.74,0.18,6427.03
2024-01-02,East,Furniture,In-Store,1,67.5,0.2,3.4,0,54.0,0.38,20.52
2024-01-04,East,Food & Beverage,Online,70,34.44,0.2,1.8,0,1928.64,0.25,482.16
2024-01-04,West,Furniture,In-Store,118,334.32,0.05,2.2,0,37477.27,0.13,4872.05
2024-01-05,East,Furniture,Online,5,486.86,0.15,3.5,1,2069.16,0.05,103.46
2024-01-05,North,Furniture,In-Store,90,69.37,0.15,2.4,0,5306.8,0.37,1963.52
2024-01-06,North,Furniture,Online,21,376.18,0.2,3.0,0,6319.82,0.07,442.39
2024-01-09,South,Clothing,Online,8,184.73,0.0,4.2,0,1477.84,0.22,325.12
2024-01-09,East,Sports,In-Store,72,206.45,0.0,3.9,0,14864.4,0.42,6243.05
2024-01-10,East,Electronics,Online,35,304.85,0.15,4.0,0,9069.29,0.29,2630.09
2024-01-13,West,Food & Beverage,Online,36,220.58,0.1,3.7,1,7146.79,0.37,2644.31
2024-01-13,South,Furniture,In-Store,31,18.57,0.25,5.0,0,431.75,0.36,155.43
2024-01-14,West,Sports,Online,52,148.84,0.25,3.3,1,5804.76,0.24,1393.14
2024-01-15,West,Clothing,Wholesale,10,494.09,0.05,3.7,0,4693.85,0.43,2018.36
2024-01-15,West,Sports,Wholesale,32,262.49,0.2,4.0,0,6719.74,0.35,2351.91
2024-01-16,North,Electronics,Online,44,6.57,0.0,2.7,0,289.08,0.3,86.72
2024-01-17,West,Electronics,In-Store,102,300.18,0.15,4.0,0,26025.61,0.09,2342.3
2024-01-18,West,Food & Beverage,Online,80,268.58,0.1,3.5,0,19337.76,0.2,3867.55
2024-01-20,South,Sports,Online,45,324.64,0.05,3.5,0,13878.36,0.14,1942.97
2024-01-21,West,Sports,In-Store,112,333.77,0.15,4.9,1,31774.9,0.16,5083.98
2024-01-21,East,Electronics,Online,91,387.07,0.25,3.2,0,26417.53,0.17,4490.98
2024-01-22,East,Electronics,Online,53,86.78,0.2,4.0,0,3679.47,0.12,441.54
2024-01-22,North,Clothing,Online,82,483.84,0.25,3.9,0,29756.16,0.07,2082.93
2024-01-23,South,Furniture,Online,92,283.54,0.2,2.5,0,20868.54,0.3,6260.56
2024-01-26,North,Furniture,Wholesale,58,445.38,0.15,3.3,0,21957.23,0.05,1097.86
2024-01-27,West,Clothing,Online,83,477.25,0.2,3.8,0,31689.4,0.05,1584.47
2024-01-28,North,Electronics,Online,91,329.36,0.15,5.0,0,25476.0,0.06,1528.56
